Date,Open,High,Low,Close,Volume
2022-01-12,3240.32,3415.58,3207.8,3373.03,294179.82
2022-01-13,3373.03,3412.61,3234.68,3242.26,253943.25
2022-01-14,3242.26,3344.43,3190.86,3309.66,231692.68
2022-01-15,3309.66,3372.84,3262.31,3328.63,126153.72
2022-01-16,3328.63,3393.05,3275.11,3349.61,122574.95
2022-01-17,3349.61,3358.54,3143.23,3210.9,253781.11
2022-01-18,3210.9,3244.64,3085.01,3161.5,281019.69
2022-01-19,3161.5,3174.98,3048.26,3084.78,290430.38
2022-01-20,3084.78,3272.69,2987.33,3002.43,336839.6
2022-01-21,3002.43,3033.86,2473.06,2569.59,988993.98
2022-01-22,2569.59,2626.26,2306.11,2412.23,882340.28
2022-01-23,2412.23,2549.64,2372.63,2541.6,445834.07
2022-01-24,2541.6,2541.78,2160.66,2442.27,1073894.23
2022-01-25,2442.27,2508.14,2351.86,2459.65,485036.16
2022-01-26,2459.65,2723.15,2402.99,2464.13,737513.68
2022-01-27,2464.13,2521.07,2316.47,2425.83,509719.12
2022-01-28,2425.83,2558.86,2359.78,2547.03,427257.35
2022-01-29,2547.03,2637.58,2522.26,2603.1,252029.25
2022-01-30,2603.1,2639.97,2544.43,2603.24,191134.8
2022-01-31,2603.24,2707.52,2479.42,2689.14,354789.83
2022-02-01,2689.14,2814.09,2676.94,2790.15,368573.73
2022-02-02,2790.15,2812.72,2613.75,2681.11,412321.15
2022-02-03,2681.11,2727.32,2575.55,2697.18,335349.34
2022-02-04,2697.18,2998.46,2673.44,2997.18,490154.91
2022-02-05,2997.18,3062.95,2962.22,3015.26,255479.72
2022-02-06,3015.26,3075.45,2952.8,3057.68,133595.11
2022-02-07,3057.68,3192.5,2996.04,3141.38,372171.22
2022-02-08,3141.38,3233.58,3028.6,3118.76,360771.09
2022-02-09,3118.76,3273.04,3057.51,3246.72,291438.28
2022-02-10,3246.72,3283.28,3059.58,3074.84,400824.47
2022-02-11,3074.84,3139.99,2880.24,2928.93,446120.24
2022-02-12,2928.93,2986.55,2859.52,2918.34,218079.8
2022-02-13,2918.34,2954.6,2839.03,2872.44,162466.43
2022-02-14,2872.44,2965.85,2832.37,2931.12,310054.68
2022-02-15,2931.12,3197.58,2913.29,3185.81,324817.22
2022-02-16,3185.81,3189.15,3045.67,3124.33,257029.5
2022-02-17,3124.33,3161.66,2854.87,2894.42,426192.96
2022-02-18,2894.42,2945.24,2753.63,2780.72,386698.78
2022-02-19,2780.72,2831.75,2699.43,2764.5,204084.91
2022-02-20,2764.5,2765.19,2576.75,2622.7,296987.31
2022-02-21,2622.7,2759.38,2561.64,2570.15,480551.54
2022-02-22,2570.15,2666.02,2502.79,2638.81,421346.73
2022-02-23,2638.81,2755.04,2578.18,2580.97,351075.55
2022-02-24,2580.97,2708.0,2302.3,2597.94,976089.91
2022-02-25,2597.94,2836.6,2573.59,2769.0,397777.86
2022-02-26,2769.0,2872.94,2730.21,2780.32,228073.48
2022-02-27,2780.32,2835.86,2560.39,2617.32,402408.5
2022-02-28,2617.32,2945.2,2571.64,2919.85,507566.28
2022-03-01,2919.85,3035.04,2861.91,2976.59,432840.34
2022-03-02,2976.59,3035.58,2916.52,2949.03,373509.87
2022-03-03,2949.03,2971.29,2790.6,2833.71,310213.42
2022-03-04,2833.71,2834.95,2577.66,2622.51,413535.48
2022-03-05,2622.51,2682.35,2591.96,2666.18,118149.01
2022-03-06,2666.18,2675.13,2550.56,2552.58,131309.35
2022-03-07,2552.58,2646.36,2450.51,2496.67,365700.0
2022-03-08,2496.67,2623.67,2486.41,2579.18,301868.62
2022-03-09,2579.18,2767.0,2572.58,2733.05,311246.75
2022-03-10,2733.05,2733.49,2565.89,2608.64,345967.91
2022-03-11,2608.64,2667.32,2528.3,2557.57,272956.31
2022-03-12,2557.57,2613.21,2555.12,2569.87,93815.15
2022-03-13,2569.87,2601.69,2498.79,2516.83,129148.33
2022-03-14,2516.83,2608.14,2503.88,2591.45,222653.25
2022-03-15,2591.45,2668.8,2512.0,2619.61,281854.48
2022-03-16,2619.61,2787.84,2607.23,2775.15,383216.56
2022-03-17,2775.15,2835.17,2750.42,2814.64,287141.33
2022-03-18,2814.64,2978.26,2771.37,2941.32,441350.22
2022-03-19,2941.32,2983.2,2907.12,2952.64,182471.07
2022-03-20,2952.64,2963.95,2820.11,2861.26,162953.99
2022-03-21,2861.26,2960.6,2834.51,2895.01,259557.83
2022-03-22,2895.01,3049.24,2888.86,2970.47,368766.57
2022-03-23,2970.47,3038.65,2926.7,3037.3,298978.12
2022-03-24,3037.3,3129.44,3004.26,3112.85,392621.51
2022-03-25,3112.85,3193.97,3080.87,3104.04,332993.23
2022-03-26,3104.04,3153.55,3086.7,3146.36,98656.67
2022-03-27,3146.36,3299.22,3128.13,3296.46,186907.99
2022-03-28,3296.46,3433.9,3276.53,3334.29,369540.98
2022-03-29,3334.29,3481.81,3331.97,3402.62,309607.06
2022-03-30,3402.62,3443.99,3340.85,3385.11,215492.76
2022-03-31,3385.11,3445.59,3261.99,3282.78,267142.15
2022-04-01,3282.78,3481.39,3214.41,3455.72,341191.37
2022-04-02,3455.72,3531.17,3435.63,3444.68,223141.3
2022-04-03,3444.68,3580.76,3414.24,3522.49,173032.36
2022-04-04,3522.49,3546.88,3408.47,3520.15,257607.25
2022-04-05,3520.15,3553.56,3397.01,3406.48,279510.77
2022-04-06,3406.48,3407.48,3162.57,3168.91,485056.81
2022-04-07,3168.91,3269.19,3143.89,3229.28,260468.32
2022-04-08,3229.28,3313.28,3174.37,3192.92,227087.37
2022-04-09,3192.92,3268.83,3183.1,3259.62,91610.23
2022-04-10,3259.62,3308.86,3191.99,3202.89,120410.14
2022-04-11,3202.89,3214.49,2950.95,2979.52,403463.25
2022-04-12,2979.52,3086.55,2951.54,3028.77,314585.59
2022-04-13,3028.77,3129.24,2997.92,3118.5,228501.62
2022-04-14,3118.5,3144.41,2976.71,3021.76,209785.23
2022-04-15,3021.76,3058.39,2994.32,3041.21,112527.6
2022-04-16,3041.21,3086.29,3011.45,3060.28,71416.98
2022-04-17,3060.28,3082.05,2982.78,2988.4,107492.8
2022-04-18,2988.4,3070.29,2883.58,3056.2,279489.32
2022-04-19,3056.2,3131.65,3030.72,3102.52,191668.54
2022-04-20,3102.52,3167.34,3036.35,3077.74,221851.43
2022-04-21,3077.74,3179.21,2943.42,2984.24,270698.7
2022-04-22,2984.24,3033.2,2933.76,2963.17,218762.93
2022-04-23,2963.17,2979.17,2917.56,2933.65,86821.69
2022-04-24,2933.65,2967.57,2912.94,2922.37,84600.84
2022-04-25,2922.37,3026.15,2798.58,3006.45,375642.45
2022-04-26,3006.45,3037.19,2768.64,2809.6,320227.74
2022-04-27,2809.6,2919.74,2795.23,2889.72,274649.23
