Date,Open,High,Low,Close,Volume
2022-07-29 03:40:00,23866.02,23870.18,23859.04,23866.84,9.512
2022-07-29 03:41:00,23866.84,23869.21,23862.79,23866.28,9.097
2022-07-29 03:42:00,23866.28,23866.95,23863.35,23865.87,7.447
2022-07-29 03:43:00,23865.87,23879.71,23865.87,23872.29,26.74
2022-07-29 03:44:00,23872.29,23875.47,23864.78,23865.85,6.759
2022-07-29 03:45:00,23865.85,23872.88,23864.64,23872.21,11.89
2022-07-29 03:46:00,23872.21,23882.37,23872.21,23880.04,7.48
2022-07-29 03:47:00,23880.04,23891.8,23877.87,23886.43,10.73
2022-07-29 03:48:00,23886.43,23890.53,23884.5,23887.4,6.074
2022-07-29 03:49:00,23887.4,23896.52,23887.02,23890.04,13.46
2022-07-29 03:50:00,23890.04,23931.61,23889.06,23919.84,81.27
2022-07-29 03:51:00,23919.84,23928.7,23918.38,23925.96,15.97
2022-07-29 03:52:00,23925.96,23927.91,23916.52,23918.88,15.9
2022-07-29 03:53:00,23918.88,23922.02,23910.57,23913.17,14.86
2022-07-29 03:54:00,23913.17,23913.17,23906.22,23906.31,26.29
2022-07-29 03:55:00,23906.31,23921.55,23901.7,23914.53,84.84
2022-07-29 03:56:00,23914.53,23914.54,23891.62,23898.04,36.25
2022-07-29 03:57:00,23898.04,23905.05,23895.9,23902.25,9.052
2022-07-29 03:58:00,23902.25,23919.81,23901.55,23917.0,12.48
2022-07-29 03:59:00,23917.0,23925.9,23915.33,23924.45,11.72
2022-07-29 04:00:00,23924.45,23924.45,23913.08,23913.94,10.71
2022-07-29 04:01:00,23913.94,23916.45,23905.77,23908.33,8.522
2022-07-29 04:02:00,23908.33,23918.81,23907.09,23918.81,6.865
2022-07-29 04:03:00,23918.81,23931.65,23917.09,23931.13,11.34
2022-07-29 04:04:00,23931.13,23932.79,23915.12,23920.0,7.281
2022-07-29 04:05:00,23920.0,23927.44,23915.98,23927.12,8.131
2022-07-29 04:06:00,23927.12,23929.26,23913.55,23915.33,5.132
2022-07-29 04:07:00,23915.33,23918.55,23905.0,23905.0,25.44
2022-07-29 04:08:00,23905.0,23927.82,23898.27,23927.7,12.66
2022-07-29 04:09:00,23927.7,23934.89,23926.8,23934.32,19.37
2022-07-29 04:10:00,23934.32,23940.9,23925.23,23926.83,12.96
2022-07-29 04:11:00,23926.83,23928.21,23921.12,23924.9,4.743
2022-07-29 04:12:00,23924.9,23926.72,23919.06,23919.96,6.316
2022-07-29 04:13:00,23919.96,23920.08,23913.31,23915.85,5.231
2022-07-29 04:14:00,23913.63,23921.23,23901.85,23901.85,72.95
2022-07-29 04:15:00,23908.63,23913.24,23896.01,23897.37,17.51
2022-07-29 04:16:00,23897.37,23898.1,23894.21,23896.58,8.411
2022-07-29 04:17:00,23896.58,23903.29,23896.58,23903.26,4.224
2022-07-29 04:18:00,23903.26,23904.15,23901.01,23903.32,2.28
2022-07-29 04:19:00,23903.32,23914.88,23902.67,23914.5,16.55
2022-07-29 04:20:00,23914.5,23932.21,23913.53,23932.21,12.93
2022-07-29 04:21:00,23932.21,23957.53,23929.81,23956.6,28.11
2022-07-29 04:22:00,23956.6,23963.5,23954.11,23962.56,15.32
2022-07-29 04:23:00,23962.56,23982.2,23959.53,23976.96,38.7
2022-07-29 04:24:00,23976.96,23983.51,23976.96,23982.79,9.7
2022-07-29 04:25:00,23982.79,23983.32,23971.99,23977.97,14.18
2022-07-29 04:26:00,23977.97,23979.84,23953.19,23972.36,14.56
2022-07-29 04:27:00,23972.36,23976.66,23969.59,23972.59,16.48
2022-07-29 04:28:00,23972.59,23972.94,23963.33,23966.13,10.16
2022-07-29 04:29:00,23966.13,23984.04,23963.75,23968.37,19.9
2022-07-29 04:30:00,23968.37,23969.49,23947.19,23947.19,10.56
